Title                                                           12.07.2021 21:21
________________________________________________________________________________

Title
Evaluation Categories:

Curve Name:
  &293water-day5-30-160-15K
  Sample Weight
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]           [mg]
              0              0         24.105         30.000        12.9984
              1              1         24.093         30.250        12.9981
              2              2         24.103         30.500        12.9981
              3              3         24.167         30.750        12.9982
              4              4         24.284         31.000        12.9985
              5              5         24.415         31.250        12.9986
              6              6         24.566         31.500        12.9986
              7              7         24.704         31.750        12.9985
              8              8         24.856         32.000        12.9985
              9              9         25.020         32.250        12.9985
             10             10         25.174         32.500        12.9984
             11             11         25.345         32.750        12.9982
             12             12         25.530         33.000        12.9979
             13             13         25.712         33.250        12.9978
             14             14         25.906         33.500        12.9976
             15             15         26.106         33.750        12.9975
             16             16         26.288         34.000        12.9975
             17             17         26.493         34.250        12.9974
             18             18         26.695         34.500        12.9973
             19             19         26.906         34.750        12.9971
             20             20         27.116         35.000         12.997
             21             21         27.323         35.250        12.9969
             22             22         27.551         35.500        12.9969
             23             23         27.769         35.750        12.9969
             24             24         27.992         36.000         12.997
             25             25         28.207         36.250         12.997
             26             26         28.423         36.500        12.9971
             27             27         28.643         36.750        12.9971
             28             28         28.880         37.000        12.9971
             29             29         29.099         37.250        12.9971
             30             30         29.332         37.500        12.9971
             31             31         29.563         37.750        12.9971
             32             32         29.789         38.000        12.9971
             33             33         30.024         38.250        12.9971
             34             34         30.253         38.500        12.9971
             35             35         30.480         38.750         12.997
             36             36         30.717         39.000        12.9967
             37             37         30.958         39.250        12.9964
             38             38         31.189         39.500         12.996
             39             39         31.434         39.750        12.9957
             40             40         31.659         40.000        12.9952
             41             41         31.905         40.250        12.9949
             42             42         32.140         40.500        12.9947
             43             43         32.382         40.750        12.9946
             44             44         32.621         41.000         12.995
             45             45         32.863         41.250        12.9953
             46             46         33.099         41.500        12.9954
             47             47         33.340         41.750        12.9954
             48             48         33.582         42.000        12.9956
             49             49         33.832         42.250        12.9958
             50             50         34.070         42.500        12.9958
             51             51         34.320         42.750        12.9959
             52             52         34.551         43.000        12.9958
             53             53         34.806         43.250        12.9957
             54             54         35.065         43.500        12.9956
             55             55         35.305         43.750        12.9954
             56             56         35.548         44.000        12.9951
             57             57         35.788         44.250        12.9948
             58             58         36.031         44.500        12.9945
             59             59         36.284         44.750        12.9941
             60             60         36.531         45.000        12.9937
             61             61         36.777         45.250        12.9934
             62             62         37.032         45.500        12.9931
             63             63         37.277         45.750        12.9929
             64             64         37.522         46.000        12.9928
             65             65         37.786         46.250        12.9927
             66             66         38.029         46.500        12.9927
             67             67         38.281         46.750        12.9927
             68             68         38.541         47.000        12.9928
             69             69         38.786         47.250        12.9928
             70             70         39.025         47.500        12.9927
             71             71         39.283         47.750        12.9925
             72             72         39.531         48.000        12.9922
             73             73         39.780         48.250         12.992
             74             74         40.041         48.500        12.9919
             75             75         40.288         48.750        12.9918
             76             76         40.536         49.000        12.9915
             77             77         40.782         49.250        12.9913
             78             78         41.028         49.500         12.991
             79             79         41.294         49.750        12.9906
             80             80         41.550         50.000        12.9902
             81             81         41.794         50.250        12.9897
             82             82         42.048         50.500        12.9893
             83             83         42.306         50.750         12.989
             84             84         42.552         51.000        12.9888
             85             85         42.799         51.250        12.9888
             86             86         43.061         51.500        12.9887
             87             87         43.319         51.750        12.9887
             88             88         43.568         52.000        12.9886
             89             89         43.838         52.250        12.9886
             90             90         44.071         52.500        12.9885
             91             91         44.322         52.750        12.9885
             92             92         44.574         53.000        12.9886
             93             93         44.829         53.250        12.9882
             94             94         45.089         53.500        12.9878
             95             95         45.348         53.750        12.9873
             96             96         45.600         54.000        12.9868
             97             97         45.852         54.250         12.986
             98             98         46.109         54.500        12.9854
             99             99         46.371         54.750        12.9849
            100            100         46.626         55.000        12.9845
            101            101         46.879         55.250        12.9843
            102            102         47.138         55.500        12.9841
            103            103         47.395         55.750        12.9839
            104            104         47.651         56.000        12.9837
            105            105         47.897         56.250        12.9838
            106            106         48.166         56.500        12.9838
            107            107         48.425         56.750        12.9838
            108            108         48.686         57.000        12.9839
            109            109         48.942         57.250        12.9839
            110            110         49.189         57.500        12.9838
            111            111         49.443         57.750        12.9837
            112            112         49.707         58.000        12.9835
            113            113         49.959         58.250        12.9831
            114            114         50.218         58.500        12.9825
            115            115         50.463         58.750        12.9821
            116            116         50.731         59.000        12.9819
            117            117         50.990         59.250        12.9816
            118            118         51.246         59.500        12.9809
            119            119         51.504         59.750        12.9802
            120            120         51.755         60.000        12.9794
            121            121         52.012         60.250        12.9787
            122            122         52.270         60.500        12.9775
            123            123         52.526         60.750        12.9767
            124            124         52.777         61.000         12.976
            125            125         53.037         61.250        12.9754
            126            126         53.289         61.500        12.9753
            127            127         53.541         61.750        12.9749
            128            128         53.798         62.000        12.9747
            129            129         54.062         62.250        12.9744
            130            130         54.316         62.500        12.9744
            131            131         54.564         62.750        12.9739
            132            132         54.826         63.000        12.9733
            133            133         55.084         63.250        12.9726
            134            134         55.342         63.500        12.9716
            135            135         55.593         63.750        12.9706
            136            136         55.854         64.000        12.9695
            137            137         56.101         64.250        12.9683
            138            138         56.357         64.500        12.9667
            139            139         56.612         64.750        12.9653
            140            140         56.865         65.000        12.9643
            141            141         57.114         65.250        12.9634
            142            142         57.376         65.500        12.9623
            143            143         57.623         65.750        12.9611
            144            144         57.878         66.000          12.96
            145            145         58.133         66.250        12.9589
            146            146         58.386         66.500        12.9578
            147            147         58.643         66.750        12.9566
            148            148         58.904         67.000        12.9554
            149            149         59.140         67.250        12.9541
            150            150         59.403         67.500        12.9526
            151            151         59.661         67.750        12.9511
            152            152         59.912         68.000        12.9495
            153            153         60.172         68.250        12.9477
            154            154         60.432         68.500        12.9457
            155            155         60.695         68.750        12.9437
            156            156         60.950         69.000        12.9418
